PERFDUMP,FP,1,1,3,64,224,224,7,7,2,3,3,3.5168e-08,3.5168e-11,6.7114e+09
PERFDUMP,FP,1,1,64,256,56,56,1,1,1,0,0,0.059361,5.9361e-05,1731.1
PERFDUMP,FP,1,1,64,64,56,56,1,1,1,0,0,0.014894,1.4894e-05,1724.8
PERFDUMP,FP,1,1,64,64,56,56,3,3,1,1,1,0.13174,0.00013174,1755
PERFDUMP,FP,1,1,256,64,56,56,1,1,1,0,0,0.060192,6.0192e-05,1707.2
PERFDUMP,FP,1,1,256,512,56,56,1,1,2,0,0,0.11942,0.00011942,1720.9
PERFDUMP,FP,1,1,256,128,56,56,1,1,2,0,0,0.029764,2.9764e-05,1726.2
PERFDUMP,FP,1,1,128,128,28,28,3,3,1,1,1,0.12756,0.00012756,1812.6
PERFDUMP,FP,1,1,128,512,28,28,1,1,1,0,0,0.059634,5.9634e-05,1723.2
PERFDUMP,FP,1,1,512,128,28,28,1,1,1,0,0,0.059618,5.9618e-05,1723.6
PERFDUMP,FP,1,1,512,1024,28,28,1,1,2,0,0,0.11899,0.00011899,1727.2
PERFDUMP,FP,1,1,512,256,28,28,1,1,2,0,0,0.029537,2.9537e-05,1739.5
PERFDUMP,FP,1,1,256,256,14,14,3,3,1,1,1,0.12108,0.00012108,1909.6
PERFDUMP,FP,1,1,256,1024,14,14,1,1,1,0,0,0.059332,5.9332e-05,1732
PERFDUMP,FP,1,1,1024,256,14,14,1,1,1,0,0,0.059118,5.9118e-05,1738.2
PERFDUMP,FP,1,1,1024,2048,14,14,1,1,2,0,0,0.11973,0.00011973,1716.5
PERFDUMP,FP,1,1,1024,512,14,14,1,1,2,0,0,0.029752,2.9752e-05,1726.9
PERFDUMP,FP,1,1,512,512,7,7,3,3,1,1,1,0.1115,0.0001115,2073.7
PERFDUMP,FP,1,1,512,2048,7,7,1,1,1,0,0,0.059625,5.9625e-05,1723.5
PERFDUMP,FP,1,1,2048,512,7,7,1,1,1,0,0,0.059614,5.9614e-05,1723.8
