PERFDUMP,FP,10,10,3,64,224,224,7,7,2,3,3,0.031747,0.0031747,743.47
PERFDUMP,FP,10,10,64,256,56,56,1,1,1,0,0,0.033403,0.0033403,307.64
PERFDUMP,FP,10,10,64,64,56,56,1,1,1,0,0,0.0080422,0.00080422,319.44
PERFDUMP,FP,10,10,64,64,56,56,3,3,1,1,1,0.028108,0.0028108,822.57
PERFDUMP,FP,10,10,256,64,56,56,1,1,1,0,0,0.03139,0.003139,327.37
PERFDUMP,FP,10,10,256,512,56,56,1,1,2,0,0,0.074394,0.0074394,276.26
PERFDUMP,FP,10,10,256,128,56,56,1,1,2,0,0,0.018026,0.0018026,285.03
PERFDUMP,FP,10,10,128,128,28,28,3,3,1,1,1,0.030485,0.0030485,758.45
PERFDUMP,FP,10,10,128,512,28,28,1,1,1,0,0,0.037623,0.0037623,273.13
PERFDUMP,FP,10,10,512,128,28,28,1,1,1,0,0,0.044231,0.0044231,232.33
PERFDUMP,FP,10,10,512,1024,28,28,1,1,2,0,0,0.091747,0.0091747,224.01
PERFDUMP,FP,10,10,512,256,28,28,1,1,2,0,0,0.020823,0.0020823,246.75
PERFDUMP,FP,10,10,256,256,14,14,3,3,1,1,1,0.030816,0.0030816,750.3
PERFDUMP,FP,10,10,256,1024,14,14,1,1,1,0,0,0.034806,0.0034806,295.24
PERFDUMP,FP,10,10,1024,256,14,14,1,1,1,0,0,0.040427,0.0040427,254.19
PERFDUMP,FP,10,10,1024,2048,14,14,1,1,2,0,0,0.086584,0.0086584,237.37
PERFDUMP,FP,10,10,1024,512,14,14,1,1,2,0,0,0.022586,0.0022586,227.49
PERFDUMP,FP,10,10,512,512,7,7,3,3,1,1,1,0.028495,0.0028495,811.41
PERFDUMP,FP,10,10,512,2048,7,7,1,1,1,0,0,0.041382,0.0041382,248.32
PERFDUMP,FP,10,10,2048,512,7,7,1,1,1,0,0,0.049125,0.0049125,209.18
